name,type,address,postal_code,tel_office_1,tel_office_2,fax_office,latitude,longitude
Point Veterinary Surgery (Telok Blangah),Clinic,38 Telok Blangah Rise #01-339,90038,62741677,na,62742177,1.27233,103.82221
Queen's Veterinary Surgery (Queen's Vets),Clinic,3 Queen's Road #02-155,260003,64750038,na,64750262,1.31833,103.8081
Republic Veterinary Clinic Pte Ltd,Clinic,1 Jurong West Central 2 #01-17A,648886,67908748,na,na,1.34009,103.70628
Singapore Veterinary Animal Clinic,Clinic,768 Woodlands Avenue 6 #01-11,730768,63650308,na,63620602,1.44572,103.79817
Singapore Veterinary Animal Clinic (Jurong East),Clinic,353 Jurong East Street 31 #01-105,600353,68970180,na,68975180,1.34442,103.73051
Society for the Prevention of Cruelty to Animals (SPCA),Clinic,50 Sungei Tengah Road,699012,62875355,na,63824162,1.38057,103.73196
Spring Veterinary Care,Clinic,123 Hougang Avenue 1 #01-1412,530123,62863313,na,62800160,1.35338,103.88626
Stars Veterinary Clinic Pte Ltd,Clinic,211 Hougang Street 21 #01-301,530211,64524576,na,na,1.35972,103.88774
The Animal Clinic Pte Ltd,Clinic,109 Clementi Street 11 #01-19,120109,67744464,67746626,67735003,1.32189,103.7706
The Animal Clinic Pte Ltd,Clinic,109 Clementi Street 11 #01-31,120109,67770273,na,67746950,1.32189,103.7706
The Animal Clinic Pte Ltd (Katong),Clinic,"55 Lorong L, Telok Kurau #01-63",425500,64404767,na,64401812,1.31182,103.91056
The Animal Doctors Pte Ltd,Clinic,108 Ang Mo Kio Avenue 4 #01-94/96,560108,64514531,na,64517531,1.37097,103.8382
The Cat Clinic,Clinic,109 Clementi Street 11 #01-33,120109,68730014,68735550,na,1.32189,103.7706
The Joyous Vet Pte Ltd,Clinic,475 Choa Chu Kang Ave 3 #01-30A Sunshine Place,680475,67690304,na,67697353,1.3779,103.73902
The Joyous Vet Pte Ltd,Clinic,1 Yuan Ching Road #03-03,618640,62674137,na,62674139,1.32591,103.72455
The Pet Doctors (Tiong Bahru) Veterinary Clinic Pte Ltd,Clinic,11A Boon Tiong Road #02-07,161011,62533023,na,62533645,1.28637,103.82879
The Pet Doctors Veterinary Clinic Pte Ltd,Clinic,3 Pandan Valley #01-311 Pandan Valley Condominium,597627,64387779,na,na,1.31984,103.77933
The Veterinary Clinic @ Tampines Pte Ltd,Clinic,476 Tampines Street 44 #01-201,520476,67842048,na,67832648,1.36092,103.95336
The Veterinary Clinic Pte Ltd (Holland Village),Clinic,31A & 33A Lorong Liput,277742,64686312,na,64686257,1.31064,103.79492
The Visiting Vets Clinic,Clinic,8 Taman Serasi #01-09 Botanic Garden,257720,64753405,na,na,1.30847,103.81914
Toa Payoh Vets (Toa Payoh Veterinary Surgery),Clinic,1002 Toa Payoh Lorong 8 #01-1477,319074,62543326,na,62560501,1.33494,103.86104
Town Vets Animal Clinic Pte Ltd,Clinic,22 Havelock Road #01-687,160022,62767026,na,67250654,1.28875,103.82882
United Veterinary Clinic Pte Ltd,Clinic,Blk 107 Ang Mo Kio Avenue 4 #01-148,560107,64556880,na,64550886,1.37138,103.83738
Vet Central pte Ltd,Clinic,69 Lorong 4 Toa Payoh #01-357,310069,66358646,na,na,1.33431,103.85269
Vet Practice Pte Ltd,Clinic,21 Lorong Kilat #01-04/05 Sun Court,598123,64621757,64621541,64685548,1.34086,103.77314
Vet Practice Pte Ltd (Holland Branch),Clinic,31 Holland Close #01-219,270031,67785285,na,64685548,1.30698,103.79708
Vets for Life Animal Clinic Pte Ltd,Clinic,330B Tanjong Katong Road,437106,63488346,na,63488643,1.30416,103.89633
Vets for Life Animal Clinic Pte Ltd,Clinic,491 River Valley Road #01-05/06 River Valley Point,248371,63488346,na,na,1.29307,103.82708
Vets For Pets,Clinic,Blk 519 Jurong West Street 52 #01-157,640519,65691627,na,65673971,1.34554,103.71758
West Coast Vetcare Pte Ltd,Clinic,612 Clementi West Street 1 #01-300,120612,67777423,na,67770654,1.30344,103.76863
My House,Hospital,Blk 749 Pasir Ris Street 71,510749,65842423,na,65843323,1.37834,103.93428
